frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
30,4,280.67,159.208,223.872,39.6075,0
30,3,901.706,133.747,868.282,55.2891,0
30,7,525.499,186.597,474.575,57.3283,0
30,6,1146.62,439.38,1060.46,300.196,0
30,12,580.39,411.948,472.674,251.249,1
30,9,382.535,49.4653,353.13,5.34745,0
30,10,200.334,413.852,106.273,321.805,0
30,8,972.245,198.362,927.178,69.0298,0
30,5,848.784,116.088,811.586,68.9828,0
30,2,674.419,133.714,633.332,22.1205,0
30,11,396.191,98.4927,355.119,47.5246,0
30,13,458.919,104.321,417.798,65.1123,0
31,0,805.73,135.697,740.998,24.0925,0
31,1,707.732,568.621,558.848,386.507,1
31,4,280.663,159.206,223.87,39.6083,0
31,3,901.706,133.753,868.282,55.288,0
31,6,1146.62,441.257,1060.46,300.192,0
31,7,525.485,120.083,474.593,57.3413,0
31,12,580.39,411.94,472.648,249.315,1
31,2,676.372,157.222,633.255,22.048,0
31,8,972.24,196.47,927.174,69.0293,0
31,10,200.34,413.854,106.271,321.866,0
31,5,848.773,116.069,813.536,68.9919,0
31,11,396.204,98.4856,355.132,47.5088,0
31,9,382.537,5.3531,366.824,5.34734,0
31,13,458.936,104.337,417.798,63.2243,0
32,0,805.669,135.705,741.004,24.0873,0
32,4,280.665,161.159,223.862,39.6074,0
32,1,707.707,566.66,558.866,384.595,1
32,3,901.702,131.731,868.274,55.2865,0
32,12,584.272,411.906,472.641,249.319,1
32,2,676.369,163.146,633.254,22.0356,0
32,7,525.482,147.438,474.536,57.3402,0
32,6,1146.62,441.258,1060.44,298.313,0
32,10,200.337,413.876,106.269,323.763,0
32,8,972.227,196.46,927.183,69.0233,0
32,5,848.805,116.059,811.562,68.9774,0
32,11,396.176,98.4829,355.151,47.5179,0
32,9,382.537,5.3531,366.826,5.34741,0
32,13,458.898,104.333,417.8,63.2266,0
33,0,805.667,135.695,740.997,24.0618,0
33,4,280.679,161.115,223.86,39.6087,0
33,1,705.783,558.876,558.879,384.475,1
33,3,901.701,133.764,868.289,55.3028,0
